year	pop	pop.m	pop.f	dens
2013	5591000	2785717	2827989	130
2012	5602628	2778852	2823776	130
2011	5580516	2766776	2813740	130
2010	5560628	2756582	2804046	129
2009	5534738	2743286	2791452	128
2008	5511451	2732020	2779431	128
2007	5475791	2712666	2763125	127
2006	5447084	2696662	2750422	126
2005	5427459	2685846	2741613	126
2004	5411405	2677292	2734113	126
2003	5397640	2670135	2727505	125
2002	5383507	2662423	2721084	125
2001	5368354	2654146	2714208	125
2000	5349212	2644319	2704893	124
1999	5330020	2634122	2695898	124
1998	5313577	2625421	2688156	123
1997	5294860	2615669	2679191	123
1996	5275121	2604937	2670184	122
1995	5251027	2592222	2658805	122
1994	5215718	2573324	2642394	121
1993	5196642	2563442	2633200	121
1992	5180614	2554594	2626020	120
1991	5162126	2544454	2617672	120
1990	5146469	2536391	2610078	119
1989	5135409	2530597	2604812	119
1988	5129778	2528165	2601613	119
1987	5129254	2527996	2601258	119
1986	5124794	2526020	2598774	119
1985	5116273	2520563	2595710	119
1984	5111108	2517072	2594036	119
1983	5112130	2517942	2594188	119
1982	5116464	2521220	2595244	119
1981	5119155	2523825	2595330	119
1980	5123989	2528225	2595764	119
1979	5122065	2529053	2593012	119
1978	5111537	2525588	2585949	119
1977	5096959	2519844	2577115	118
1976	5079879	2512827	2567052	118
1975	5065313	2506844	2558469	118
1974	5054410	2504217	2550193	117
1973	5036184	2498164	2538020	117
1972	5007538	2484811	2522727	116
1971	4975653	2470193	2505460	115
1970	4950598	2459814	2490784	115
1969	4906916	2432491	2474425	114
1968	4876803	2416083	2460720	113
1967	4852962	2404948	2448014	113
1966	4817746	2387544	2430202	112
1965	4777015	2367216	2409799	111
1964	4741008	2350377	2390631	110
1963	4703136	2331881	2371255	109
1962	4665829	2313679	2352150	108
1961	4629624	2295948	2333676	107
1960	4593750	2277768	2315982	107
1959	4565455	2264558	2300897	107
