year	pop	pop.m	pop.f	dens
2013	25904598	12843340	13061258	109
2012	25366462	12562169	12804293	106
2011	24820706	12282988	12537718	104
2010	24262901	12006557	12256344	102
2009	23691533	11733194	11958339	99
2008	23110139	11463272	11646867	97
2007	22525659	11197656	11328003	94
2006	21947779	10937339	11010440	92
2005	21384034	10683071	10700963	90
2004	20835514	10434926	10400588	87
2003	20301686	10192862	10108824	85
2002	19786307	9957286	9829021	83
2001	19293392	9728615	9564777	81
2000	18825034	9506902	9318132	79
1999	18384302	9292610	9091692	77
1998	17968830	9085023	8883807	75
1997	17568461	8881561	8686900	74
1996	17169151	8678771	8490380	72
1995	16760926	8474201	8286725	70
1994	16339278	8266599	8072679	68
1993	15907265	8056631	7850634	67
1992	15471695	7846113	7625582	65
1991	15043053	7637842	7405211	63
1990	14628693	7433773	7194920	61
1989	14233006	7235684	6997322	60
1988	13853171	7042924	6810247	58
1987	13480997	6852260	6628737	57
1986	13104616	6659069	6445547	55
1985	12716887	6460763	6256124	53
1984	12311805	6254553	6057252	52
1983	11895742	6043393	5852349	50
1982	11488683	5837279	5651404	48
1981	11118132	5649862	5468270	47
1980	10802497	5490257	5312240	45
1979	10551189	5363237	5187952	44
1978	10354855	5264171	5090684	43
1977	10190202	5181260	5008942	43
1976	10023738	5097540	4926198	42
1975	9831636	5000928	4830708	41
1974	9604475	4886667	4717808	40
1973	9350286	4758775	4591511	39
1972	9083737	4624521	4459216	38
1971	8827429	4495144	4332285	37
1970	8597133	4378488	4218645	36
1969	8397508	4276843	4120665	35
1968	8221194	4186534	4034660	34
1967	8057629	4102342	3955287	34
1966	7891194	4016552	3874642	33
1965	7710761	3923675	3787086	32
1964	7513510	3822327	3691183	31
1963	7303664	3714615	3589049	31
1962	7085698	3602783	3482915	30
1961	6866780	3490411	3376369	29
1960	6652516	3380308	3272208	29
