year	pop	pop.m	pop.f	dens
2013	127341000	61952526	65386095	337
2012	127611000	62087733	65473756	338
2011	127817277	62237726	65579551	338
2010	127450459	62082625	65367834	337
2009	127557958	62156097	65401861	338
2008	127704040	62246439	65457601	338
2007	127770750	62297706	65473044	338
2006	127756000	62311012	65444988	338
2005	127773000	62343056	65429944	338
2004	127761000	62364635	65396365	338
2003	127718000	62374056	65343944	338
2002	127445000	62272963	65172037	337
2001	127149000	62160725	64988275	336
2000	126870000	62055529	64814471	336
1999	126650000	61978044	64671956	335
1998	126410000	61889640	64520360	335
1997	126091000	61759876	64331124	334
1996	125761000	61620151	64140849	333
1995	125439000	61478709	63960291	332
1994	124961000	61254019	63706981	331
1993	124536000	61049429	63486571	330
1992	124229000	60900331	63328669	329
1991	123921000	60753265	63167735	328
1990	123537000	60574841	62962159	327
1989	123116000	60385636	62730364	326
1988	122613000	60162139	62450861	325
1987	122091000	59932162	62158838	323
1986	121492000	59662748	61829252	322
1985	120754000	59320218	61433782	320
1984	120018000	58972532	61045468	318
1983	119259000	58608398	60650602	316
1982	118449000	58215833	60233167	314
1981	117648000	57827068	59820932	311
1980	116782000	57407518	59374482	309
1979	115870000	56967849	58902151	307
1978	114898000	56499999	58398001	304
1977	113863000	55998862	57864138	301
1976	112771000	55462344	57308656	298
1975	111940000	55043642	56896358	296
1974	110162000	54146936	56015064	292
1973	108079000	53090564	54988436	286
1972	107188000	52615748	54572252	284
1971	105697000	51850668	53846332	280
1970	104345000	51164265	53180735	276
1969	103172000	50578410	52593590	273
1968	101061000	49543561	51517439	267
1967	100725000	49386250	51338750	267
1966	99790000	48937226	50852774	264
1965	98883000	48499817	50383183	262
1964	97826000	47985533	49840467	259
1963	96812000	47490181	49321819	256
1962	95832000	47010300	48821700	254
1961	94943000	46575560	48367440	251
1960	92500572	45380298	47120274	251
