year	pop	pop.m	pop.f	dens
2013	142929000	66198054	77301807	8
2012	143000000	66081810	77096190	8
2011	143056383	66013384	76943076	8
2010	142856536	66046579	76809957	8
2009	141914509	65639380	76275129	8
2008	141903979	65641634	76262345	8
2007	142008838	65717075	76291763	8
2006	142220968	65848988	76371980	8
2005	142753551	66163544	76590007	8
2004	143474219	66602762	76871457	8
2003	144168205	67023885	77144320	8
2002	145166731	67605133	77561598	8
2001	145649334	67922016	77727318	9
2000	146303611	68338905	77964706	9
1999	146890128	68698313	78191815	9
1998	147670780	69070182	78600598	9
1997	147915373	69212781	78702592	9
1996	148160126	69345827	78814299	9
1995	148141000	69349229	78791771	9
1994	148336000	69448793	78887207	9
1993	148520000	69536758	78983242	9
1992	148689000	69605203	79083797	9
1991	148624000	69543229	79080771	9
1990	148292000	69330255	78961745	9
1989	147721000	68976529	78744471	9
1988	146857000	68461258	78395742	9
1987	145908000	67892493	78015507	9
1986	144894000	67294769	77599231	8
1985	143858000	66699259	77158741	8
1984	142745000	66085412	76659588	8
1983	141668000	65502978	76165022	8
1982	140823000	65037079	75785921	8
1981	139941000	64554507	75386493	8
1980	139010000	64043725	74966275	8
1979	138027000	63501776	74525224	8
1978	137060000	62963302	74096698	8
1977	136100000	62428752	73671248	8
1976	135147000	61904702	73242298	8
1975	134200000	61395174	72804826	8
1974	133432000	60980033	72451967	8
1973	132669000	60577171	72091829	8
1972	131909000	60182887	71726113	8
1971	131155000	59794400	71360600	8
1970	130404000	59406756	70997244	8
1969	129664000	59023548	70640452	8
1968	128928000	58640905	70287095	8
1967	128196000	58253889	69942111	7
1966	127468000	57856309	69611691	7
1965	126745000	57444271	69300729	7
1964	125345000	56706343	68638657	7
1963	123960000	55958054	68001946	7
1962	122591000	55204769	67386231	7
1961	121236000	54452984	66783016	7
1960	119897000	53709025	66187975	7
