year	pop	pop.m	pop.f	dens
2013	316128839	155561186	160567653	32
2012	313873685	154405687	159467998	32
2011	311582564	153237090	158345474	32
2010	309326295	152093480	157232815	31
2009	306771529	150811926	155959603	31
2008	304093966	149477118	154616848	31
2007	301231207	148055568	153175639	31
2006	298379912	146639777	151740135	31
2005	295516599	145214837	150301762	31
2004	292805298	143861121	148944177	30
2003	290107933	142510697	147597236	30
2002	287625193	141259076	146366117	30
2001	284968955	139911937	145057018	30
2000	282162411	138478309	143684102	29
1999	279040000	136875909	142164091	29
1998	275854000	135229977	140624023	29
1997	272657000	133569718	139087282	28
1996	269394000	131873318	137520682	28
1995	266278000	130249399	136028601	28
1994	263126000	128609548	134516452	27
1993	259919000	126945104	132973896	27
1992	256514000	125189271	131324729	27
1991	252981000	123379481	129601519	26
1990	249623000	121665635	127957365	26
1989	246819000	120236775	126582225	26
1988	244499000	119058871	125440129	25
1987	242289000	117942607	124346393	25
1986	240133000	116850604	123282396	25
1985	237924000	115725325	122198675	25
1984	235825000	114636810	121188190	24
1983	233792000	113570004	120221996	24
1982	231664000	112475309	119188691	24
1981	229466000	111404113	118061887	24
1980	227225000	110394265	116830735	24
1979	225055000	109517480	115537520	23
1978	222585000	108575797	114009203	23
1977	220239000	107725859	112513141	23
1976	218035000	106907706	111127294	23
1975	215973000	106073478	109899522	22
1974	213854000	105105231	108748769	22
1973	211909000	104134967	107774033	22
1972	209896000	103081792	106814208	22
1971	207661000	101927065	105733935	22
1970	205052000	100636858	104415142	21
1969	202677000	99520666	103156334	21
1968	200706000	98647278	102058722	21
1967	198712000	97790380	100921620	21
1966	196560000	96856870	99703130	20
1965	194303000	95853342	98449658	20
1964	191889000	94751203	97137797	20
1963	189242000	93519718	95722282	20
1962	186538000	92247718	94290282	19
1961	183691000	90896970	92794030	19
1960	180671000	89456171	91214829	19
