year	pop	pop.m	pop.f	dens
2013	4447632	2223306	2224326	13
2012	4337051	2167898	2169153	13
2011	4225359	2111921	2113438	12
2010	4111715	2054954	2056761	12
2009	3995146	1996513	1998633	12
2008	3876475	1937010	1939465	11
2007	3758858	1878018	1880840	11
2006	3646653	1821707	1824946	11
2005	3542867	1769578	1773289	10
2004	3448868	1722314	1726554	10
2003	3363418	1679302	1684116	10
2002	3283719	1639156	1644563	10
2001	3205636	1599825	1605811	9
2000	3126204	1559840	1566364	9
1999	3044444	1518713	1525731	9
1998	2961357	1476946	1484411	9
1997	2878333	1435244	1443089	8
1996	2797572	1394721	1402851	8
1995	2720633	1356163	1364470	8
1994	2647817	1319726	1328091	8
1993	2578424	1285054	1293370	8
1992	2511819	1251810	1260009	7
1991	2447020	1219479	1227541	7
1990	2383283	1187668	1195615	7
1989	2320488	1156312	1164176	7
1988	2258785	1125487	1133298	7
1987	2198025	1095114	1102911	6
1986	2138090	1065132	1072958	6
1985	2078914	1035505	1043409	6
1984	2020333	1006149	1014184	6
1983	1962375	977077	985298	6
1982	1905411	948483	956928	6
1981	1849970	920641	929329	5
1980	1796412	893739	902673	5
1979	1744922	867873	877049	5
1978	1695348	842965	852383	5
1977	1647320	818834	828486	5
1976	1600295	795206	805089	5
1975	1553903	771898	782005	5
1974	1508000	748838	759162	4
1973	1462767	726118	736649	4
1972	1418556	703918	714638	4
1971	1375876	682499	693377	4
1970	1335090	662045	673045	4
1969	1296306	642612	653694	4
1968	1259394	624133	635261	4
1967	1224187	606516	617671	4
1966	1190424	589619	600805	3
1965	1157905	573334	584571	3
1964	1126573	557629	568944	3
1963	1096468	542526	553942	3
1962	1067589	528026	539563	3
1961	1039958	514144	525814	3
1960	1013581	500886	512695	3
