year	pop	pop.m	pop.f	dens
2013	4595281	2281521	2313760	65
2012	4591087	2272790	2318297	65
2011	4582707	2269789	2312918	65
2010	4570881	2269426	2301455	65
2009	4549428	2260974	2288454	65
2008	4521322	2252658	2268664	64
2007	4457765	2226754	2231011	63
2006	4340118	2172790	2167328	62
2005	4208156	2103449	2104707	60
2004	4111672	2049350	2062322	59
2003	4028851	2003162	2025689	57
2002	3964191	1969227	1994964	56
2001	3899702	1937905	1961797	55
2000	3832783	1905582	1927201	55
1999	3777565	1876864	1900701	54
1998	3732006	1853675	1878331	53
1997	3693386	1833991	1859395	53
1996	3654955	1814701	1840254	52
1995	3620065	1797356	1822709	52
1994	3597617	1787212	1810405	51
1993	3583154	1782109	1801045	51
1992	3569367	1775651	1793716	51
1991	3547492	1764716	1782776	50
1990	3520977	1750875	1770102	50
1989	3506970	1743208	1763762	50
1988	3515048	1747873	1767175	50
1987	3534850	1761765	1773085	50
1986	3545263	1770250	1775013	50
1985	3534117	1770900	1763217	50
1984	3542046	1774746	1767300	50
1983	3522800	1766100	1756700	50
1982	3498400	1754500	1743900	50
1981	3473200	1744500	1728700	49
1980	3432800	1724100	1708700	49
1979	3392800	1705100	1687700	48
1978	3354700	1686500	1668200	48
1977	3303500	1660800	1642700	47
1976	3260900	1639500	1621400	46
1975	3215200	1616400	1598800	46
1974	3163900	1590100	1573800	45
1973	3111100	1563000	1548100	44
1972	3060800	1537500	1523300	44
1971	3012900	1513300	1499600	43
1970	2971200	1492300	1478900	42
1969	2943300	1478900	1464400	42
1968	2922000	1468400	1453600	42
1967	2909100	1461900	1447200	41
1966	2895800	1455000	1440800	41
1965	2881800	1448000	1433800	41
1964	2872800	1444300	1428500	41
1963	2860300	1438000	1422300	41
1962	2845000	1430200	1414800	40
1961	2827100	1421200	1405900	40
1960	2821700	1419100	1402600	40
1959	2835500	1429000	1406500	40
