year	pop	pop.m	pop.f	dens
2013	27797457	13455585	14341872	189
2012	27474377	13330222	14144155	187
2011	27156367	13209848	13946519	185
2010	26846016	13094698	13751318	182
2009	26544943	12986613	13558330	180
2008	26249412	12883567	13365845	178
2007	25950022	12777274	13172748	176
2006	25634043	12656630	12977413	174
2005	25292058	12514155	12777903	172
2004	24921910	12344177	12577733	169
2003	24525527	12149787	12375740	167
2002	24102862	11942815	12160047	164
2001	23655119	11740267	11914852	161
2000	23184177	11553320	11630857	158
1999	22690158	11389899	11300259	154
1998	22175431	11243737	10931694	151
1997	21647305	11094962	10552343	147
1996	21115271	10915558	10199713	143
1995	20587157	10687178	9899979	140
1994	20065413	10400865	9664548	136
1993	19551500	10067848	9483652	133
1992	19050879	9714559	9336320	129
1991	18569445	9378402	9191043	126
1990	18111200	9086110	9025090	123
1989	17679536	8847322	8832214	120
1988	17273606	8653499	8620107	117
1987	16887696	8491004	8396692	115
1986	16513244	8338216	8175028	112
1985	16143975	8179275	7964700	110
1984	15778051	8010950	7767101	107
1983	15417207	7838376	7578831	105
1982	15062998	7663859	7399139	102
1981	14718228	7492009	7226219	100
1980	14384864	7326163	7058701	98
1979	14063010	7166268	6896742	96
1978	13751522	7010576	6740946	93
1977	13449680	6858899	6590781	91
1976	13156441	6710881	6445560	89
1975	12871016	6566324	6304692	87
1974	12593223	6425144	6168079	86
1973	12323203	6287631	6035572	84
1972	12060891	6154393	5906498	82
1971	11806296	6026239	5780057	80
1970	11559455	5903725	5655730	79
1969	11320100	5787049	5533051	77
1968	11088215	5675970	5412245	75
1967	10864396	5570050	5294346	74
1966	10649467	5468631	5180836	72
1965	10443932	5371187	5072745	71
1964	10247834	5277441	4970393	70
1963	10060686	5187360	4873326	68
1962	9881783	5100937	4780846	67
1961	9710150	5018246	4691904	66
1960	9544938	4939237	4605701	66
